Negara,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan
Amerika,1637.9,1079.4,1388,1166.4,5526.3
USA,1088,894.9,839.3,874.7,3696.8
Kanada,95.5,102.7,159.3,135.3,492.7
Amerika lainnya,454.4,81.8,389.4,156.4,1337
Eropa,1053.7,1405.4,1321.8,1380.2,4594.9
Belgia,17.8,100.3,23.8,24.7,166.5
Denmark,4.7,30.7,4.9,3.4,43.6
Perancis,113.9,66.2,89.5,58.5,328.1
Italia,15.4,21.7,21.7,11.7,70.5
Belanda,333.2,482.4,320.3,842.2,1977.1
Norwegia,71.6,5.5,0.4,3.9,81.3
Jerman,146.5,52.8,91.2,52.8,343.3
Inggris,127.1,178.4,305.9,133.9,745.4
Swiss,33.8,21.8,62.3,127.1,244.9
Eropa Lainnya,189.7,445.6,401.8,1253.1,594
Asia,10623.9,11748.8,12325,13571.8,48563
Jepang,976.5,817,726.9,943.4,3463.9
R.R. Tiongkok,1874.8,2043.2,1861.2,2327.7,8106.9
Korea Selatan,509.3,1258.9,660.4,559.1,2987.7
Hongkong,1897.7,1914.4,2243.5,2160.9,8216.5
Taiwan,38.1,59.7,145.9,101.1,344.8
Singapura,4242,4617.3,5496.2,5719.8,20075.2
India,68.2,33.9,51.8,19.1,173.1
Asia Lainnya,1017.3,1004.4,1139.1,1740.7,5194.9
Australia,261.1,151.4,389.1,229.1,1050.3
Australia,172.3,112.6,297,157.2,739.1
Selandia Baru,4.5,3,7.5,11,26
Australia lainnya,84.3,35.8,84.6,60.9,285.2
Afrika,52.6,102.4,85.6,39.6,279.5
Nigeria,-,-,-,-,0.1
Afrika Lainnya,52.6,102.4,85.6,279.5,279.4
Negara Lainnya,-,-,-,-,-
Jumlah,13629.1,14488.1,15509.7,16387.1,60014
